Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
0,2.965,16561,10797,18182,11444,0.0147111,-0.0233893,0.0083165
20,2.894,16567,10803,18179,11438,0.00387876,-0.0319277,-0.0252312
40,2.84,16578,10812,18181,11436,-0.0391525,-0.0352456,0.00382328
60,2.835,16593,10824,18188,11440,-0.0634541,-0.032828,-0.026903
80,2.845,16610,10837,18199,11448,-0.0595359,-0.016991,0.0153859
100,2.839,16629,10851,18213,11458,-0.0644413,0.00583733,0.0466794
120,2.936,16649,10864,18229,11471,-0.0626521,0.0248921,0.0737722
140,3.011,16668,10877,18245,11486,-0.0668519,0.0436599,0.115838
160,3.073,16686,10888,18262,11501,-0.0902334,0.0565796,0.0923886
180,3.109,16702,10899,18278,11516,-0.0875651,0.0589518,0.0972302
200,3.119,16716,10908,18294,11531,-0.084156,0.0559087,0.12344
220,3.116,16729,10916,18308,11544,-0.0764081,0.0401968,0.0741092
240,3.085,16740,10923,18322,11557,-0.0459435,0.023743,0.0636713
260,3.042,16750,10930,18334,11568,-0.0303456,0.00903882,0.0301544
280,2.975,16759,10937,18346,11578,-0.00945696,-0.0107667,0.0338796
300,2.941,16768,10944,18357,11586,0.016683,-0.0181966,0.0394953
320,2.906,16777,10951,18368,11592,0.0496297,-0.0287173,0.0719998
340,2.937,16786,10959,18378,11598,0.0483668,-0.0243328,0.0597139
360,2.927,16795,10966,18387,11602,0.0285565,-0.0192034,-0.0295501
380,2.895,16804,10974,18395,11605,0.0195464,-0.0212473,-0.0418149
400,2.877,16814,10981,18403,11607,-0.00116846,-0.0273461,-0.0903699
420,2.906,16823,10989,18409,11608,-0.0205426,-0.0364863,-0.162437
440,2.881,16831,10995,18414,11608,-0.0234192,-0.0386778,-0.152603
460,2.84,16838,11000,18418,11608,-0.0169599,-0.0412802,-0.182097
480,2.889,16843,11003,18420,11608,0.00463829,-0.0435701,-0.181127
500,3.043,16846,11004,18420,11607,0.0209559,-0.0364293,-0.121235
520,3.336,16846,11004,18418,11607,0.0213983,-0.017111,-0.128301
540,3.669,16843,11001,18414,11606,0.0316943,0.00668636,-0.104976
560,3.859,16838,10996,18409,11605,0.042363,0.0299513,-0.0287014
580,3.831,16830,10990,18403,11604,0.0432681,0.039463,0.0269687
600,3.653,16820,10982,18395,11603,0.042588,0.0453017,0.0798478
620,3.449,16809,10973,18387,11602,0.0183391,0.0480584,0.106152
640,3.248,16796,10964,18379,11601,-0.00852274,0.0467469,0.109633
660,3.074,16782,10955,18370,11599,-0.0359414,0.0376968,0.0546898
680,2.922,16769,10947,18362,11597,-0.052158,0.0188845,-0.0365655
700,2.861,16757,10939,18354,11595,-0.0395299,-0.00647646,0.0089766
720,2.863,16745,10933,18348,11592,-0.0406532,-0.0245638,0.039054
740,2.85,16735,10929,18342,11589,-0.0282283,-0.031448,0.00682514
760,2.905,16727,10926,18336,11584,-0.0126932,-0.0269384,-0.0630812
780,2.971,16721,10924,18332,11579,0.0146548,-0.0171511,-0.0997292
800,3.014,16716,10924,18328,11573,0.0133641,-0.0107866,-0.0763464
820,3.109,16713,10924,18325,11567,0.027038,-0.009228,-0.040824
840,3.171,16711,10925,18322,11560,0.0362088,-0.0162991,0.064161
860,3.236,16709,10927,18320,11553,0.0239993,-0.0185604,0.0823618
880,3.22,16708,10928,18317,11546,-0.000297016,-0.020639,0.00436688
900,3.155,16707,10929,18315,11540,-0.0196951,-0.014484,-0.0992692
920,3.045,16705,10930,18313,11535,-0.010406,-0.0140817,-0.0296622
940,3,16703,10929,18312,11530,-0.00537383,-0.0122697,0.0787802
960,2.986,16700,10928,18311,11527,-0.00237362,-0.0146093,0.155676
980,2.975,16696,10926,18311,11526,0.00361705,-0.0100875,0.129227
1000,3.007,16692,10924,18312,11526,0.0106818,-0.00224476,0.0816792
1020,3.006,16689,10922,18315,11528,0.00768141,0.0119658,0.0744544
1040,2.976,16685,10919,18319,11532,-0.0131522,0.0214887,0.0521849
1060,2.964,16682,10918,18324,11536,-0.0311982,0.0172848,0.0967503
1080,2.983,16680,10917,18331,11542,-0.0376427,0.0098367,0.0751457
1100,3.003,16679,10916,18339,11548,-0.0327817,-0.0118389,0.00712693
1120,2.997,16680,10917,18348,11555,-0.0181498,-0.0325399,0.0106118
1140,3.007,16681,10919,18358,11561,-0.0265982,-0.0446283,-0.0592444
1160,3.19,16683,10921,18367,11567,-0.00733394,-0.044014,-0.025069
1180,3.533,16686,10924,18376,11572,0.000957694,-0.0293134,-0.00173305
1200,3.877,16690,10927,18384,11577,0.030667,-0.0197895,0.0227066
1220,4.005,16693,10930,18391,11581,0.0497469,-0.0123461,0.0845646
1240,3.986,16696,10933,18397,11584,0.042958,-0.00618459,-0.0416408
1260,3.87,16699,10936,18402,11587,0.027348,0.00380407,-0.0386666
1280,3.68,16700,10938,18405,11590,0.0127215,0.0189558,-0.0828497
1300,3.439,16701,10939,18408,11593,0.0122664,0.0220565,-0.0266663
1320,3.221,16701,10939,18410,11596,0.0121933,0.0145474,-0.0225212
1340,3.088,16700,10939,18412,11599,-0.000566542,0.00132165,-0.107529
1360,3.015,16698,10939,18413,11602,0.0130147,-0.0062424,-0.100791
1380,3.048,16696,10937,18414,11606,0.0139186,0.000254324,-0.133877
1400,2.99,16692,10936,18414,11609,0.0329732,0.00991903,-0.15163
1420,3.003,16688,10933,18414,11611,0.0314555,0.02238,-0.141967
1440,3.038,16683,10930,18414,11613,0.033786,0.0203161,-0.0920004
1460,3.084,16678,10927,18412,11613,0.0475136,0.0118501,0.0021259
1480,3.144,16672,10923,18409,11612,0.0172908,0.00467717,-0.0829635
1500,3.239,16666,10919,18405,11609,0.0200474,0.00848586,-0.140373
1520,3.25,16659,10915,18399,11604,0.0228074,0.0145237,-0.0825909
1540,3.218,16652,10910,18392,11598,0.0225105,0.012724,0.015668
1560,3.22,16645,10905,18384,11590,0.00696514,0.00843472,0.0518956
1580,3.165,16637,10900,18375,11581,0.00967544,0.00378018,0.0669483
1600,3.101,16630,10894,18365,11571,0.00195933,0.00743327,0.0815985
