Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
1480,2.152,28503,21689,14438,22768,-0.0620579,-0.0123487,0.201994
1500,2.212,28489,21669,14416,22746,-0.0876475,-0.00114253,0.0979064
1520,2.256,28476,21650,14394,22723,-0.0633086,0.00965759,0.149994
1540,2.311,28463,21632,14372,22700,-0.0763334,0.0218191,0.233383
1560,2.321,28451,21615,14351,22675,-0.0736401,0.0341628,0.178251
1580,2.304,28441,21600,14331,22651,-0.0803504,0.0224266,0.209664
1600,2.302,28433,21587,14313,22628,-0.117127,0.019086,0.158665
1620,2.286,28426,21577,14297,22606,-0.107806,4.30E-05,0.0793747
1640,2.258,28421,21568,14283,22586,-0.104572,-0.0134176,0.0619072
1660,2.242,28419,21562,14271,22569,-0.067853,-0.0198754,0.157414
1680,2.222,28419,21559,14263,22556,-0.0631225,-0.0315976,0.116127
1700,2.191,28421,21558,14258,22547,-0.0490492,-0.0300934,0.0528634
1720,2.153,28427,21560,14256,22542,-0.0323925,-0.0253751,0.197166
1740,2.141,28436,21565,14258,22542,-0.046148,-0.0185341,-0.0432773
1760,2.148,28447,21572,14262,22547,-0.0183614,0.00178437,-0.157659
1780,2.146,28461,21582,14270,22556,0.0175109,-0.000814778,-0.157712
1800,2.134,28478,21593,14279,22569,0.044387,-0.00300734,-0.127132
1820,2.146,28497,21607,14291,22585,0.0435191,-0.0121629,-0.0658882
1840,2.152,28517,21621,14304,22602,0.0177219,-0.0332484,-0.216944
1860,2.132,28538,21636,14317,22620,0.0217395,-0.0379227,-0.216971
1880,2.149,28558,21651,14330,22638,0.060973,-0.0393102,-0.140587
1900,2.158,28578,21665,14341,22653,0.0776923,-0.0295904,-0.1543
1920,2.177,28595,21678,14351,22665,0.0984354,-0.0161779,-0.0413722
1940,2.297,28608,21688,14358,22673,0.0737773,-0.00904373,0.0595826
1960,2.544,28618,21697,14361,22676,0.0370739,0.00258206,-0.092436
1980,2.791,28624,21702,14361,22673,0.0221839,0.0139667,-0.0877697
2000,2.98,28625,21705,14357,22665,0.0334853,0.0248845,-0.00205214
2020,3.01,28621,21704,14350,22650,0.0406085,0.0226655,0.0833283
2040,2.92,28613,21701,14339,22629,-0.00950411,0.00856676,0.185257
2060,2.745,28601,21695,14324,22603,-0.0300251,-0.000355612,0.242146
2080,2.538,28585,21686,14307,22573,-0.0555338,-0.00959748,0.127485
2100,2.387,28567,21677,14287,22539,-0.0602583,-0.00234102,0.12003
2120,2.251,28548,21666,14267,22504,-0.0472209,0.00453365,0.150257
2140,2.166,28529,21656,14246,22467,-0.0559534,0.00778337,0.145536
2160,2.11,28511,21647,14226,22432,-0.0659133,0.0112143,0.165261
2180,2.058,28495,21640,14208,22398,-0.101881,0.0037319,0.0851835
2200,2.096,28482,21635,14192,22368,-0.0905366,0.000205268,0.0536871
2220,2.12,28473,21632,14179,22342,-0.0611819,-0.006431,0.080307
2240,2.215,28469,21633,14171,22321,-0.0604455,-0.0042956,0.101052
2260,2.275,28469,21637,14166,22306,-0.0565694,-0.00236715,-0.0399075
2280,2.344,28473,21644,14166,22297,-0.0086515,-0.00366284,0.105521
2300,2.363,28482,21655,14169,22294,0.00404598,-0.00408285,0.266855
2320,2.351,28494,21668,14177,22297,0.0109492,7.65E-05,0.0966859
2340,2.318,28508,21683,14188,22304,0.0205234,0.0103502,0.0505257
2360,2.281,28525,21699,14201,22315,0.0483864,0.0174063,0.0221353
2380,2.244,28543,21717,14216,22329,0.0837358,0.0202317,0.184531
2400,2.209,28562,21736,14233,22346,0.0216958,0.0146842,0.0293157
2420,2.16,28580,21754,14251,22364,-0.0151593,-0.00807027,-0.417863
2440,2.152,28598,21772,14268,22383,-0.00672204,-0.0369585,-0.689163
2460,2.139,28615,21789,14286,22401,0.0523443,-0.064765,-0.685835
2480,2.148,28630,21805,14302,22418,0.0950574,-0.0699896,-0.429337
2500,2.162,28644,21820,14317,22434,0.0708125,-0.0714839,-0.551495
2520,2.132,28655,21832,14331,22446,0.062025,-0.0652842,-0.77595
2540,2.152,28663,21842,14341,22455,0.0847309,-0.0635504,-0.665113
2560,2.156,28668,21848,14347,22460,0.10139,-0.0431107,-0.410093
2580,2.145,28668,21849,14349,22458,0.0957182,-0.0135331,-0.466235
