Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
1500,-2017,25386,15309,21725,15187,0.0925072,-0.103931,-0.0590734
1520,2024,25414,15326,21752,15210,0.114937,-0.00367357,0.0779156
1540,2047,25444,15346,21781,15234,0.00224262,0.101657,-0.0106161
1560,2031,25473,15365,21811,15259,-0.079408,0.0605484,0.0451329
1580,2047,25500,15383,21838,15282,-0.0494729,-0.0939797,0.00515655
1600,2024,25524,15399,21861,15302,-0.0175889,-0.045732,-0.00760455
1620,2024,25542,15413,21881,15317,-0.0728411,0.0718377,0.177675
1640,2024,25555,15422,21894,15327,-0.0401009,0.177037,0.291828
1660,2024,25559,15427,21899,15329,-0.0474201,0.0386604,0.194414
1680,2024,25555,15425,21894,15322,-0.0727641,-0.115208,-0.182525
1700,2024,25539,15416,21877,15305,0.0585179,0.085653,-0.0177091
1720,2024,25511,15398,21847,15279,0.0445917,0.202947,0.398933
1740,-2017,25474,15374,21808,15245,0.0317661,0.246407,0.197456
1760,-1960,25431,15345,21762,15206,0.0453216,0.0682885,-0.029575
1780,-2017,25383,15313,21712,15164,-0.0044712,-0.174201,-0.0133542
1800,-2018,25335,15281,21661,15120,0.105194,-0.0917573,0.294354
1820,-2022,25288,15249,21611,15077,-0.0237945,0.0326692,0.20066
1840,-2017,25244,15219,21563,15036,-0.0466639,0.129291,0.160459
1860,-2022,25203,15191,21518,14998,-0.0641921,0.0489764,0.0939196
1880,-2022,25166,15166,21478,14963,0.0643157,0.042085,0.318154
1900,-2017,25134,15144,21444,14934,0.0426323,0.0168751,0.371582
1920,-2017,25110,15128,21417,14911,-0.0883848,-0.143829,0.194475
1940,-2022,25095,15117,21401,14896,-0.0913615,-0.0199847,0.371367
1960,-2022,25089,15114,21396,14889,-0.0931513,-0.102692,0.085286
1980,-2018,25092,15116,21400,14891,-0.025067,-0.219636,-0.281936
2000,-2017,25103,15124,21414,14900,0.0790954,-0.130418,-0.149182
2020,-2022,25119,15136,21434,14914,0.0840292,-0.0113551,0.0119478
2040,-2022,25140,15150,21458,14931,-0.051267,0.0668114,-0.129993
2060,-2017,25163,15167,21485,14950,0.0235169,-0.129025,-0.392564
2080,-2017,25186,15185,21514,14971,0.0772603,-0.173578,-0.223309
2100,-2022,25211,15203,21544,14992,0.0849752,-0.102308,-0.0636756
2120,-2017,25235,15223,21575,15015,-0.0501654,0.00262955,-0.19863
2140,-2018,25260,15242,21606,15039,0.0132181,0.0353632,-0.25656
2160,-2022,25283,15261,21638,15064,0.0304445,-0.0919178,-0.50137
2180,-2017,25304,15279,21668,15087,-0.0145186,-0.0853273,-0.441186
2200,-2017,25322,15294,21693,15107,-0.0172719,0.0119893,-0.145204
2220,-2022,25334,15306,21713,15122,-0.056149,0.0517882,0.067418
2240,-2022,25342,15315,21728,15133,0.0012786,0.0679781,-0.104886
2260,-2017,25344,15321,21739,15140,-0.00381709,-0.0500903,-0.39382
2280,-2017,25344,15325,21746,15145,0.0845746,-0.0286576,-0.345533
