"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",
10.16,81.299,1.1524,-1.525,2.8633,-1.7498,65.369,
10.16,81.299,0.81668,6.2691,-12.115,5.2401,81.573,
10.16,81.299,-7.0171,4.6061,-0.41602,2.9948,80.841,
10.16,81.299,-0.94508,3.9069,-0.17913,-2.8608,46.692,
11.16,80.383,1.7254,-1.1432,0.33583,-0.14653,64.453,
11.16,80.383,10.182,-5.783,-1.2322,-3.3081,55.664,
11.16,80.383,0.61182,2.8506,2.4118,-5.8327,46.234,
11.16,80.383,2.3253,-16.378,26.321,-12.356,80.841,
12.16,79.285,0.90518,-2.0857,3.6596,-1.7108,64.453,
12.16,79.285,-12.46,16.373,-12.417,8.6543,79.01,
12.16,79.285,13.162,0.95566,-16.975,3.1014,61.249,
12.16,79.285,-0.026076,4.9761,0.069548,-5.0596,131.56,
13.16,78.461,-1.1373,-1.4081,4.2608,-2.4798,63.171,
13.16,78.461,8.7808,-5.4024,-3.5302,-0.053703,57.404,
13.16,78.461,-3.082,-2.6044,-1.6578,7.2712,130.46,
13.16,78.461,12.294,-32.048,32.9,-12.909,79.285,
14.16,77.82,-0.62922,1.5887,-0.8543,0.69667,61.523,
14.16,77.82,8.2927,-5.9615,-2.4363,0.17918,58.685,
14.16,77.82,2.2845,3.5646,-1.4948,-4.3999,129.36,
14.16,77.82,9.8173,-25.534,32.732,-16.985,76.904,
15.16,77.728,-1.8749,3.5772,-2.3943,1.4761,90.729,
15.16,77.728,7.6222,-6.2142,-0.76242,-0.49548,126.89,
15.16,77.728,1.8164,3.4909,-1.5405,-3.8142,128.08,
15.16,77.728,9.4106,-25.82,33.737,-17.222,76.813,
16.16,77.82,-1.2216,2.8828,-1.5374,0.6583,60.699,
16.16,77.82,6.7304,-4.9048,-2.7237,1.043,126.25,
16.16,77.82,2.3864,3.0146,-1.3305,-4.1474,126.98,
16.16,77.82,-9.0991,26.032,-32.63,15.597,77.545,
17.16,77.728,-1.0542,1.7418,0.1006,-0.005106,61.066,
17.16,77.728,7.0382,-5.3478,-1.8048,0.26951,125.79,
17.16,77.728,-2.277,-2.9254,0.75572,4.5127,126.34,
17.16,77.728,-9.3322,25.287,-30.452,14.508,78.003,
18.16,77.82,-0.63323,1.3661,0.53343,-0.48518,61.89,
18.16,77.82,6.4883,-3.2643,-4.4534,1.3724,126.16,
18.16,77.82,2.771,0.95825,1.4247,-5.2651,126.34,
18.16,77.82,-9.1721,28.384,-32.082,12.872,78.186,
19.16,77.545,-1.2604,2.4169,-0.70977,0.34485,62.897,
19.16,77.545,6.7337,-4.2363,-3.0315,0.6877,126.53,
19.16,77.545,1.9349,2.8036,-0.63664,-4.1757,127.17,
19.16,77.545,-10.007,28.464,-34.377,15.896,77.728,
20.16,76.996,-0.87214,2.1441,-0.41709,-0.080982,64.362,
20.16,76.996,8.1199,-7.2511,-1.8804,1.1259,125.7,
20.16,76.996,4.1202,0.83233,1.2857,-6.313,128.91,
20.16,76.996,-13.264,37.005,-41.266,17.487,77.454,
21.16,76.172,-0.29293,-0.15487,1.099,0.15033,64.362,
21.16,76.172,10.438,-5.3377,-5.3138,0.26731,65.186,
21.16,76.172,2.4771,1.5926,3.0464,-7.101,131.01,
21.16,76.172,13.595,-38.634,41.76,-16.8,76.538,
22.16,75.806,0.16379,-1.8469,1.383,-0.50352,46.234,
22.16,75.806,-2.3532,-4.4318,1.1133,5.7367,130.92,
22.16,75.806,-7.2008,17.239,-21,10.935,75.531,
22.16,75.806,10.695,-7.1593,-4.5969,1.0639,63.904,
23.16,75.623,0.072498,1.8742,-0.32311,-0.85279,120.03,
23.16,75.623,-0.6757,7.2809,-5.1945,-1.6374,113.98,
23.16,75.623,-8.9245,4.1979,6.7348,-2.0491,77.271,
23.16,75.623,-17.648,26.126,-24.398,16.065,75.623,
24.16,75.806,1.6248,-0.53637,1.2142,-1.524,118.38,
24.16,75.806,-0.72147,5.5677,-1.3057,-3.7124,115.36,
24.16,75.806,25.703,-23.654,3.5959,-5.8578,76.721,
