"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",
32.16,82.489,5.7628,-2.8975,-7.1554,4.4708,51.086,
33.16,84.045,0.051578,0.80333,-1.1935,1.1287,85.327,
33.16,84.045,1.0128,1.0378,-1.4653,-0.75859,82.214,
33.16,84.045,-2.7947,2.8078,-5.3342,5.178,89.539,
33.16,84.045,2.1617,-2.2084,-1.3092,1.3051,51.727,
34.16,84.869,0.47106,-0.18593,0.35354,0.20298,46.783,
34.16,84.869,1.9344,0.20273,-1.37,-0.78731,50.079,
34.16,84.869,1.6826,-3.0267,-0.44783,1.7492,52.368,
34.16,84.869,-6.9346,9.0637,-12.949,10.767,75.897,
35.16,85.052,0.24354,-0.75093,0.13347,-0.48304,81.665,
35.16,85.052,-0.23562,-1.2122,0.47341,1.062,55.756,
35.16,85.052,3.1332,-1.2106,-2.74,0.93558,48.981,
35.16,85.052,-5.2304,6.5105,-6.4583,5.3457,76.447,
36.16,84.778,-0.53445,0.6621,-0.050354,0.7429,80.658,
36.16,84.778,-1.1656,-0.41584,0.88816,0.42152,50.812,
36.16,84.778,0.8461,-1.6149,-0.13501,0.97286,48.889,
36.16,84.778,2.9021,-4.8586,5.3532,-3.1652,49.805,
37.16,83.679,-0.4111,1.1408,0.11611,-0.11649,43.396,
37.16,83.679,-0.17232,-0.40324,-0.33241,1.3054,69.672,
37.16,83.679,0.26861,0.63612,-1.056,0.025807,50.171,
37.16,83.679,2.4687,-2.3616,0.9221,-0.6451,47.791,
38.16,81.573,0.52139,-1.0525,0.27154,-0.51298,43.488,
38.16,81.573,0.065233,-0.89754,0.87717,0.31483,52.734,
38.16,81.573,-2.4454,1.7615,0.12119,0.43334,48.706,
38.16,81.573,-0.45547,-0.24374,-1.1855,1.6973,68.848,
39.16,77.728,-0.044325,-0.32623,-0.06029,1.2039,48.065,
39.16,77.728,1.6553,0.065712,-0.63194,-0.78331,51.544,
39.16,77.728,-1.1871,1.0643,1.7368,-1.316,64.819,
39.16,77.728,2.7575,-2.928,1.8243,-1.7696,48.523,
40.16,74.89,-0.39351,0.1513,-0.53247,1.5134,124.51,
40.16,74.89,2.0113,-1.3987,1.6819,-1.9468,51.544,
40.16,74.89,0.084049,-1.4401,1.4885,-0.38393,51.544,
40.16,74.89,2.0994,-1.7663,-0.83366,0.27981,60.333,
41.16,74.066,0.59111,-0.27397,0.133,0.3986,52.185,
41.16,74.066,0.9952,0.095523,0.17369,-1.2038,77.454,
41.16,74.066,2.971,-3.184,1.3767,-1.4449,53.741,
41.16,74.066,1.7374,-0.59926,-3.6544,2.4613,74.158,
42.16,73.792,0.81169,-0.313,0.013364,0.35554,51.27,
42.16,73.792,0.84544,0.04313,-0.1091,-0.81511,46.692,
42.16,73.792,3.5182,-3.5734,0.79432,-1.2445,56.305,
42.16,73.792,1.3782,0.064048,-4.4608,3.2499,49.347,74.432
43.16,74.158,0.6041,-0.047713,-0.13508,0.4288,51.361,
43.16,74.158,0.12434,0.82256,-0.052184,-0.88943,79.01,
43.16,74.158,2.0635,-0.351,-4.5241,2.7603,75.806,
43.16,74.158,6.4551,-6.0215,2.0993,-3.1701,56.305,
44.16,74.341,0.43246,-0.11521,0.31563,0.18029,114.62,
44.16,74.341,0.57972,0.72895,-0.21225,-1.0716,104.83,
44.16,74.341,-2.0757,-0.1457,5.7381,-3.7529,76.63,
44.16,74.341,7.1458,-6.8569,2.1781,-2.9165,54.291,
45.16,74.615,-1.2105,1.3633,-0.078826,0.7621,113.8,
45.16,74.615,4.3334,-3.5912,1.1023,-1.7362,50.537,
45.16,74.615,-0.11257,1.5237,-0.33055,-1.0527,103.64,
45.16,74.615,2.9609,-0.63847,-6.6477,4.4859,76.63,
46.16,74.799,0.13052,0.13752,0.1609,0.37303,114.07,
46.16,74.799,0.8689,1.013,-0.56854,-1.2581,99.518,
46.16,74.799,3.1706,-0.81242,-7.3017,5.0265,75.439,
46.16,74.799,8.1077,-7.9625,3.8477,-4.2268,49.896,
47.16,75.531,-0.29445,0.66514,-0.094736,0.53314,114.62,143.28
47.16,75.531,0.67722,1.2829,-0.64522,-1.3025,97.87,
47.16,75.531,9.5441,-9.201,3.5147,-3.9759,49.164,
47.16,75.531,4.1413,-0.83729,-7.8038,4.6088,73.975,
48.16,75.806,-0.26654,0.90334,-0.38177,0.55747,141.36,
48.16,75.806,1.9151,1.4028,-0.78114,-2.7118,96.863,
48.16,75.806,3.5055,-2.3641,-2.6572,1.5461,51.178,
48.16,75.806,-6.7742,8.0623,-9.2213,8.0754,74.432,
49.16,62.714,-0.013903,0.36661,0.071559,0.37971,140.63,
49.16,62.714,-3.5913,0.19037,0.14579,3.274,94.849,
49.16,62.714,8.4844,-9.8051,6.9346,-5.8433,48.157,
49.16,62.714,-3.8316,1.2714,8.4592,-6.0467,72.876,
50.16,63.171,0.18378,0.49886,-0.32857,0.44463,142.82,
50.16,63.171,1.4945,2.6173,-2.4671,-1.7652,124.79,
50.16,63.171,3.4004,-2.0187,-4.3024,2.9325,46.967,
50.16,63.171,-8.731,9.9054,-8.3889,7.3971,48.065,
51.16,65.46,-0.28082,0.90389,-0.79418,0.96566,123.23,
51.16,65.46,0.76883,1.6611,-1.7362,-0.70172,123.87,
51.16,65.46,-7.4984,9.6019,-12.573,10.495,50.354,
51.16,65.46,5.4498,-4.175,-4.0805,2.826,47.974,
52.16,67.749,1.0038,-0.80384,2.4293,-1.2522,55.389,
52.16,67.749,1.838,2.6474,-1.9356,-2.5251,148.32,
52.16,67.749,-5.0714,7.6089,-16.035,13.787,50.903,
52.16,67.749,6.5877,-5.5874,-2.7123,1.7019,145.66,
53.16,68.665,0.05301,0.61288,-0.7235,0.84484,55.664,67.474
53.16,68.665,1.3585,1.2931,-1.3183,-1.3517,148.04,
53.16,68.665,-5.8239,8.8574,-16.984,13.99,52.368,
53.16,68.665,6.6455,-5.6359,-3.4238,2.4168,148.59,
54.16,69.031,-0.36004,1.1343,-1.3954,1.4097,56.305,
54.16,69.031,1.6453,0.80418,-0.095472,-2.3792,147.58,
54.16,69.031,-8.6929,11.661,-16.847,13.785,52.826,
54.16,69.031,5.8855,-4.9387,-4.8347,3.8954,42.664,
55.16,69.763,-1.5545,0.62528,2.0561,-1.9008,56.213,
55.16,69.763,-5.8544,6.1015,-1.719,1.6344,43.03,
55.16,69.763,-0.50241,-1.6006,-0.15625,2.2875,81.757,
55.16,69.763,1.7252,1.8252,-19.353,15.654,64.545,
56.16,70.862,-0.72983,-0.023426,0.387,-0.42961,60.15,
56.16,70.862,-0.016903,-1.1229,-1.7191,2.9615,74.707,
56.16,70.862,-6.9382,5.8225,0.78217,0.46729,,
56.16,70.862,0.33503,2.5506,-11.497,8.8119,66.742,
57.16,71.96,1.1448,-0.47887,1.2189,-1.1422,60.333,
57.16,71.96,2.6654,1.8607,-6.1401,1.3791,74.341,
57.16,71.96,-1.9109,4.1961,-11.827,9.8944,99.884,
57.16,71.96,6.4019,-5.6284,-1.6856,0.84909,,
58.16,72.784,-1.2172,0.26589,0.13034,0.046108,59.875,
58.16,72.784,-2.9289,-1.0192,3.3996,0.84336,73.334,
58.16,72.784,-8.0132,7.3658,0.89616,-0.14812,148.59,
58.16,72.784,-0.16607,2.2879,-9.8651,7.9435,100.8,
59.16,72.968,1.3342,-0.65961,0.69469,-0.61123,59.143,
59.16,72.968,2.2068,1.5659,-4.3346,0.3041,72.327,
59.16,72.968,7.5727,-7.0442,-0.88726,0.2301,147.67,
59.16,72.968,0.59515,2.3397,-11.526,8.9624,73.151,
60.16,73.151,1.42,-1.1077,1.3966,-0.94427,58.777,
60.16,73.151,-0.74781,3.5355,-11.543,9.0357,73.059,
60.16,73.151,7.746,-7.1989,-1.7491,1.0948,62.622,
60.16,73.151,-4.4631,-0.16399,3.3668,1.3496,71.411,
61.16,73.242,0.29252,-0.61091,1.1464,-0.1223,53.192,
61.16,73.242,0.16047,0.93035,0.49863,-1.319,48.706,
61.16,73.242,-3.1186,5.2643,-8.0757,6.4871,71.503,
61.16,73.242,6.7366,-4.9474,-4.1713,2.4825,145.39,
62.16,73.151,0.19153,-0.059718,1.3629,-0.72667,48.523,
62.16,73.151,1.3337,1.4613,-0.58846,-2.2635,47.058,
62.16,73.151,5.4388,-3.346,-5.8685,3.9809,45.593,
62.16,73.151,-5.7696,7.4636,-7.2,5.8463,69.489,
63.16,73.059,1.2483,-0.35842,-0.43224,0.33801,75.165,
63.16,73.059,0.34607,-1.9671,1.4233,0.28862,48.431,
63.16,73.059,-6.0753,7.2457,-6.7603,5.9247,69.122,
63.16,73.059,7.68,-4.309,-11.258,7.958,47.15,
64.16,73.059,0.8138,-0.43604,0.061164,0.38299,76.172,
64.16,73.059,1.0164,0.83185,-1.1075,-0.67346,48.157,
64.16,73.059,5.3273,-4.6065,-1.971,1.181,46.875,
64.16,73.059,-1.6062,4.2537,-9.5442,7.197,70.313,
65.16,73.059,-0.83339,0.18904,-0.91422,0.79065,79.102,
65.16,73.059,-1.0611,0.59503,0.49186,0.38537,50.354,
65.16,73.059,-3.4022,3.5069,1.5666,-2.0329,45.593,81.299
65.16,73.059,-3.8589,6.4693,-15.914,14.035,68.939,
66.16,73.151,1.4074,-0.92312,1.9583,-1.6925,76.63,
66.16,73.151,0.45708,0.00092188,-1.1355,0.24575,44.952,
66.16,73.151,-4.4934,6.0816,-10.515,9.6696,64.27,
66.16,73.151,2.4408,-2.4027,-1.477,1.7505,45.227,
67.16,73.334,1.6138,-1.3822,3.0426,-2.7565,75.256,
67.16,73.334,1.713,-1.6471,1.1873,-1.9264,108.31,
67.16,73.334,2.695,-3.0071,0.53327,-0.23881,61.066,
67.16,73.334,-2.2565,3.9953,-9.4832,8.9683,63.904,
68.16,73.425,1.1142,-0.61263,1.5319,-1.3264,74.982,
68.16,73.425,1.5293,-1.5774,1.9525,-2.6543,108.49,
68.16,73.425,-2.0489,3.5142,-8.1763,7.5857,99.976,
68.16,73.425,2.2678,-2.1773,-1.6334,1.74,48.706,
69.16,73.792,0.93162,-0.32514,0.93436,-0.76761,110.23,
69.16,73.792,1.3868,-1.3441,1.4177,-2.1433,108.86,
69.16,73.792,2.226,-2.1487,-1.4847,1.6015,100.16,
69.16,73.792,-2.0402,3.3695,-7.6197,7.0575,47.333,
70.16,74.066,1.0184,-0.4185,0.98438,-0.83821,111.33,
70.16,74.066,1.7345,-1.7871,1.6971,-2.39,112.7,
70.16,74.066,-2.5268,4.0135,-7.8899,7.235,47.882,
70.16,74.066,2.528,-2.3783,-1.7472,1.8639,97.412,
71.16,74.341,0.84479,-0.32899,1.5421,-1.3364,112.06,
71.16,74.341,1.2211,-1.2062,1.3866,-2.1126,114.99,
71.16,74.341,-1.8521,3.153,-7.395,6.9279,53.009,
71.16,74.341,1.9195,-1.7496,-1.7261,1.8787,96.405,
72.16,74.341,-0.1565,-0.70757,0.80913,-0.63863,106.38,
72.16,74.341,0.61271,-0.8732,1.4222,-2.1749,115.91,
72.16,74.341,-1.6382,2.2622,-7.6357,7.3606,51.361,
72.16,74.341,-1.5046,1.3236,1.3422,-1.4791,94.299,
73.16,74.615,0.11246,0.73469,-0.55821,0.4082,102.45,
73.16,74.615,0.60521,-0.85883,1.3304,-2.1089,116.27,
73.16,74.615,-1.4767,1.2171,1.646,-1.7545,93.109,
73.16,74.615,-1.6973,2.3804,-7.8646,7.6333,53.009,
74.16,74.524,-0.22174,-0.35466,1.2805,-1.8419,128.45,
74.16,74.524,-0.61759,-0.021427,-0.0064987,0.59141,101.26,
74.16,74.524,-1.348,1.4813,0.64692,-0.62711,93.201,
