Time(mS),ppg,LPF1,LPF2,LPF3,LPF4
14660,2.882,17489,12638,19744,11786
14680,2.787,17487,12638,19744,11786
14700,2.681,17486,12637,19744,11786
14720,2.661,17484,12637,19743,11786
14740,2.619,17483,12636,19744,11786
14760,2.649,17482,12636,19744,11785
14780,2.742,17480,12636,19745,11785
14800,2.777,17479,12635,19746,11785
14820,2.755,17478,12635,19747,11785
14840,2.724,17476,12635,19748,11784
14860,2.663,17475,12635,19749,11784
14880,2.645,17474,12635,19750,11783
14900,2.615,17473,12635,19752,11783
14920,2.549,17472,12635,19753,11782
14940,2.524,17472,12635,19754,11782
14960,2.521,17471,12635,19755,11781
14980,2.528,17470,12636,19756,11781
15000,2.499,17470,12636,19758,11780
15020,2.526,17469,12636,19759,11779
15040,2.533,17469,12637,19760,11779
15060,2.498,17469,12637,19761,11778
15080,2.709,17469,12637,19762,11778
15100,3.119,17469,12637,19762,11777
15120,3.602,17468,12637,19763,11776
15140,3.956,17468,12637,19763,11776
15160,3.989,17468,12636,19763,11775
15180,3.858,17468,12636,19762,11775
15200,3.639,17468,12635,19761,11775
15220,3.404,17468,12635,19760,11775
15240,3.211,17468,12634,19759,11775
15260,3.01,17468,12634,19758,11775
15280,2.968,17468,12633,19757,11776
15300,2.894,17468,12633,19756,11777
15320,2.818,17468,12633,19755,11778
15340,2.702,17468,12634,19755,11779
15360,2.612,17468,12634,19755,11780
15380,2.549,17468,12635,19755,11781
15400,2.589,17468,12636,19755,11782
15420,2.667,17468,12637,19756,11783
15440,2.714,17468,12638,19757,11784
15460,2.72,17468,12639,19758,11784
15480,2.758,17468,12640,19760,11784
15500,2.709,17468,12641,19761,11784
15520,2.652,17467,12642,19763,11784
15540,2.579,17467,12643,19765,11784
15560,2.54,17467,12644,19767,11783
15580,2.493,17467,12645,19768,11783
15600,2.467,17467,12645,19770,11783
15620,2.437,17467,12646,19772,11782
15640,2.475,17467,12646,19773,11782
15660,2.458,17467,12647,19774,11782
15680,2.491,17466,12647,19776,11782
15700,2.489,17466,12648,19777,11783
15720,2.489,17466,12648,19778,11783
15740,2.503,17466,12648,19779,11784
15760,2.551,17466,12649,19780,11784
15780,2.712,17466,12649,19780,11785
15800,3.073,17466,12649,19780,11785
15820,3.474,17466,12649,19780,11786
15840,3.749,17465,12649,19780,11786
15860,3.767,17465,12649,19780,11787
15880,3.625,17465,12649,19779,11787
15900,3.41,17465,12649,19778,11788
15920,3.157,17465,12649,19777,11788
15940,2.99,17465,12649,19775,11789
15960,2.875,17465,12649,19774,11790
15980,2.784,17465,12649,19773,11790
16000,2.734,17465,12649,19772,11791
16020,2.656,17465,12649,19771,11792
16040,2.593,17465,12650,19771,11793
16060,2.569,17465,12650,19770,11794
16080,2.573,17465,12650,19770,11795
16100,2.617,17465,12651,19770,11795
16120,2.656,17466,12651,19771,11796
16140,2.688,17466,12651,19772,11796
16160,2.716,17466,12652,19773,11796
16180,2.691,17467,12652,19774,11796
16200,2.638,17467,12652,19775,11796
16220,2.589,17467,12652,19776,11796
16240,2.565,17467,12652,19777,11796
16260,2.481,17467,12652,19779,11795
16280,2.457,17466,12652,19780,11795
16300,2.464,17466,12652,19781,11794
16320,2.474,17466,12652,19782,11794
16340,2.468,17465,12651,19783,11793
16360,2.465,17465,12651,19784,11793
16380,2.461,17464,12651,19784,11792
16400,2.477,17464,12651,19785,11792
16420,2.471,17463,12651,19785,11792
16440,2.482,17463,12651,19786,11792
16460,2.493,17463,12650,19786,11792
16480,2.477,17462,12650,19786,11791
16500,2.505,17462,12650,19786,11791
16520,2.633,17462,12649,19786,11791
16540,3.021,17461,12649,19785,11790
16560,3.374,17461,12648,19785,11790
16580,3.646,17461,12648,19784,11790
16600,3.688,17460,12647,19783,11790
16620,3.533,17460,12647,19782,11789
16640,3.33,17459,12646,19781,11789
16660,3.105,17458,12645,19779,11790
16680,2.929,17458,12645,19778,11790
16700,2.843,17457,12644,19776,11790
16720,2.77,17456,12644,19775,11791
16740,2.755,17456,12643,19774,11792
16760,2.66,17455,12643,19773,11792
16780,2.598,17454,12643,19772,11793
16800,2.562,17454,12643,19771,11793
16820,2.562,17453,12643,19771,11793
16840,2.629,17453,12643,19770,11793
16860,2.678,17452,12643,19770,11793
16880,2.705,17452,12643,19770,11793
16900,2.719,17452,12643,19770,11792
16920,2.67,17452,12643,19770,11792
16940,2.659,17451,12643,19771,11791
16960,2.605,17451,12642,19771,11790
16980,2.545,17451,12642,19771,11789
17000,2.502,17451,12642,19772,11788
17020,2.467,17451,12642,19772,11787
17040,2.46,17450,12642,19773,11787
17060,2.477,17450,12642,19773,11786
17080,2.526,17449,12641,19774,11785
17100,2.503,17449,12641,19774,11785
17120,2.496,17449,12640,19775,11784
17140,2.507,17448,12640,19775,11784
17160,2.534,17448,12639,19775,11783
17180,2.554,17447,12638,19775,11783
17200,2.548,17447,12637,19776,11783
17220,2.53,17447,12635,19775,11782
17240,2.523,17447,12634,19775,11782
17260,2.544,17446,12632,19775,11782
17280,2.689,17446,12630,19774,11782
17300,3.013,17446,12628,19773,11782
17320,3.372,17445,12627,19772,11782
17340,3.61,17445,12625,19771,11782
17360,3.651,17444,12623,19770,11782
17380,3.529,17444,12621,19768,11782
17400,3.333,17443,12620,19766,11782
17420,3.164,17442,12618,19764,11782
17440,3.018,17441,12617,19762,11782
17460,2.891,17441,12616,19760,11782
17480,2.831,17440,12615,19759,11782
17500,2.779,17440,12614,19757,11782
17520,2.721,17439,12614,19756,11783
17540,2.654,17439,12613,19755,11783
17560,2.65,17439,12613,19754,11783
17580,2.657,17439,12613,19753,11784
17600,2.654,17439,12614,19753,11784
17620,2.726,17439,12614,19753,11784
17640,2.769,17439,12614,19753,11784
17660,2.754,17440,12615,19753,11783
17680,2.72,17440,12615,19754,11783
17700,2.709,17441,12615,19754,11783
17720,2.675,17441,12615,19754,11782
17740,2.625,17441,12615,19755,11781
17760,2.619,17441,12615,19755,11780
17780,2.591,17441,12615,19756,11780
17800,2.52,17442,12615,19756,11779
17820,2.513,17441,12614,19757,11778
17840,2.5,17441,12614,19757,11778
17860,2.516,17441,12613,19758,11777
17880,2.534,17441,12613,19759,11777
17900,2.545,17440,12612,19759,11776
17920,2.569,17440,12611,19760,11776
17940,2.583,17439,12610,19761,11776
17960,2.608,17439,12609,19761,11776
17980,2.59,17438,12608,19762,11776
18000,2.59,17438,12607,19763,11776
18020,2.582,17437,12606,19763,11776
18040,2.594,17437,12606,19764,11776
18060,2.744,17436,12605,19764,11776
18080,3.062,17436,12604,19764,11776
18100,3.455,17436,12603,19764,11776
18120,3.718,17435,12602,19764,11777
18140,3.799,17435,12601,19763,11777
18160,3.681,17434,12600,19763,11777
18180,3.425,17434,12599,19762,11778
18200,3.164,17433,12598,19760,11778
18220,3.004,17432,12597,19759,11778
18240,2.894,17432,12596,19757,11779
18260,2.846,17431,12595,19756,11779
18280,2.822,17431,12595,19755,11780
18300,2.777,17430,12594,19753,11780
18320,2.657,17430,12594,19752,11780
18340,2.661,17430,12594,19752,11780
18360,2.654,17430,12595,19751,11780
18380,2.734,17430,12595,19751,11780
18400,2.777,17430,12596,19752,11780
18420,2.775,17430,12597,19753,11779
18440,2.762,17430,12599,19754,11779
18460,2.761,17430,12600,19755,11778
18480,2.758,17429,12601,19756,11778
18500,2.705,17429,12602,19757,11778
18520,2.678,17429,12603,19759,11778
18540,2.59,17429,12604,19760,11778
18560,2.563,17429,12605,19761,11777
18580,2.526,17428,12605,19762,11777
18600,2.538,17428,12606,19763,11777
18620,2.573,17427,12606,19764,11777
18640,2.548,17427,12606,19765,11777
18660,2.579,17426,12606,19766,11776
18680,2.583,17426,12605,19766,11776
18700,2.58,17425,12605,19767,11775
18720,2.587,17425,12604,19767,11775
18740,2.632,17424,12603,19767,11774
18760,2.663,17424,12602,19767,11773
18780,2.64,17423,12600,19767,11773
18800,2.568,17422,12599,19767,11772
18820,2.58,17422,12597,19767,11771
18840,2.608,17421,12596,19766,11771
18860,2.866,17420,12594,19766,11770
18880,3.288,17419,12593,19765,11770
18900,3.666,17419,12591,19763,11770
18920,3.859,17418,12589,19762,11770
18940,3.82,17417,12588,19761,11770
18960,3.589,17417,12586,19759,11770
18980,3.36,17416,12585,19757,11770
19000,3.122,17416,12584,19755,11771
19020,2.945,17415,12582,19754,11771
19040,2.84,17415,12582,19752,11772
19060,2.786,17415,12581,19751,11773
19080,2.756,17415,12581,19750,11773
19100,2.721,17415,12581,19750,11774
19120,2.653,17415,12581,19749,11775
19140,2.652,17415,12581,19749,11775
19160,2.652,17415,12582,19750,11776
19180,2.742,17415,12583,19751,11776
19200,2.796,17415,12585,19752,11777
19220,2.832,17416,12586,19753,11777
19240,2.824,17416,12587,19754,11777
19260,2.79,17417,12589,19756,11778
19280,2.783,17417,12590,19757,11778
19300,2.775,17417,12592,19759,11778
19320,2.695,17417,12593,19760,11778
19340,2.695,17418,12595,19762,11779
19360,2.656,17418,12596,19763,11779
19380,2.636,17418,12597,19765,11779
19400,2.638,17418,12598,19766,11779
19420,2.594,17417,12599,19767,11779
19440,2.614,17417,12599,19768,11779
19460,2.621,17417,12600,19768,11779
19480,2.628,17417,12600,19769,11778
19500,2.624,17417,12600,19770,11777
19520,2.663,17417,12601,19770,11777
19540,2.666,17417,12601,19771,11776
19560,2.686,17417,12601,19771,11775
19580,2.671,17417,12601,19772,11774
19600,2.661,17417,12601,19773,11773
19620,2.674,17417,12601,19773,11772
19640,2.817,17417,12601,19774,11771
19660,3.266,17416,12601,19774,11771
19680,3.729,17416,12601,19774,11770
19700,3.984,17416,12601,19774,11769
19720,3.979,17416,12600,19774,11769
19740,3.838,17415,12600,19773,11769
19760,3.59,17415,12599,19772,11769
19780,3.344,17414,12599,19771,11769
19800,3.141,17413,12598,19770,11769
19820,3.024,17413,12598,19769,11769
19840,2.899,17412,12598,19768,11769
19860,2.807,17412,12598,19767,11769
19880,2.759,17411,12598,19766,11769
19900,2.675,17411,12599,19765,11769
19920,2.719,17411,12599,19764,11769
19940,2.763,17411,12600,19763,11768
19960,2.842,17412,12601,19763,11768
19980,2.846,17412,12602,19763,11768
20000,2.906,17413,12603,19763,11768
20020,2.908,17414,12604,19763,11768
20040,2.87,17414,12605,19764,11768
20060,2.818,17415,12605,19764,11767
20080,2.805,17416,12605,19765,11767
20100,2.751,17416,12605,19766,11767
20120,2.702,17417,12605,19766,11767
20140,2.678,17417,12604,19767,11767
20160,2.654,17417,12603,19768,11766
20180,2.654,17417,12602,19768,11766
20200,2.629,17417,12601,19769,11766
20220,2.61,17417,12600,19769,11765
20240,2.625,17417,12599,19770,11765
20260,2.667,17416,12598,19770,11765
20280,2.659,17416,12597,19771,11764
20300,2.675,17415,12596,19771,11764
20320,2.688,17415,12595,19772,11763
20340,2.693,17414,12594,19772,11763
20360,2.667,17414,12593,19772,11762
20380,2.688,17413,12592,19772,11761
20400,2.901,17413,12591,19772,11761
20420,3.399,17413,12590,19772,11760
20440,3.847,17412,12590,19771,11760
20460,3.995,17412,12589,19771,11760
20480,3.971,17411,12588,19770,11759
20500,3.782,17411,12588,19769,11759
20520,3.579,17411,12588,19767,11759
20540,3.343,17410,12587,19766,11760
20560,3.096,17410,12587,19765,11760
20580,2.968,17410,12587,19763,11761
20600,2.871,17410,12587,19762,11762
20620,2.814,17410,12587,19761,11762
20640,2.719,17410,12588,19761,11763
20660,2.657,17410,12589,19760,11764
20680,2.661,17410,12590,19760,11765
20700,2.735,17410,12591,19760,11765
20720,2.805,17411,12592,19761,11766
20740,2.857,17411,12594,19762,11766
20760,2.923,17412,12595,19763,11766
20780,2.895,17412,12596,19764,11767
20800,2.891,17413,12597,19765,11766
20820,2.818,17414,12599,19767,11766
20840,2.775,17414,12599,19768,11766
20860,2.758,17415,12600,19770,11766
20880,2.696,17415,12601,19771,11766
20900,2.684,17415,12601,19772,11766
20920,2.674,17415,12601,19773,11766
20940,2.663,17416,12601,19775,11766
20960,2.635,17416,12601,19776,11766
20980,2.631,17415,12601,19777,11766
21000,2.66,17415,12600,19778,11766
21020,2.668,17415,12600,19779,11766
21040,2.649,17415,12599,19779,11766
21060,2.667,17416,12599,19780,11766
21080,2.691,17416,12598,19780,11766
21100,2.672,17416,12598,19780,11766
21120,2.659,17416,12597,19780,11767
21140,2.863,17416,12597,19780,11767
21160,3.277,17417,12597,19779,11767
21180,3.735,17417,12596,19778,11767
21200,3.956,17418,12596,19777,11768
21220,3.928,17419,12596,19776,11768
21240,3.75,17420,12596,19774,11769
21260,3.483,17422,12596,19772,11770
21280,3.232,17423,12596,19770,11770
21300,3.008,17425,12596,19768,11771
21320,2.867,17428,12597,19766,11771
21340,2.797,17431,12598,19764,11772
21360,2.728,17434,12599,19762,11773
21380,2.682,17437,12601,19761,11773
21400,2.64,17440,12603,19759,11773
21420,2.645,17443,12605,19758,11774
21440,2.727,17447,12607,19758,11774
21460,2.772,17451,12609,19757,11774
21480,2.852,17455,12612,19757,11773
21500,2.884,17459,12614,19756,11773
21520,2.866,17463,12617,19756,11773
21540,2.814,17467,12620,19757,11773
21560,2.776,17470,12622,19757,11774
21580,2.699,17474,12625,19757,11774
21600,2.672,17478,12627,19757,11775
21620,2.65,17482,12630,19758,11776
21640,2.635,17486,12632,19758,11777
21660,2.589,17490,12634,19759,11778
21680,2.603,17494,12637,19759,11780
21700,2.61,17497,12639,19760,11782
21720,2.582,17501,12641,19761,11783
21740,2.618,17505,12644,19761,11785
21760,2.604,17509,12647,19762,11786
21780,2.628,17513,12649,19762,11787
21800,2.58,17517,12652,19762,11789
21820,2.615,17521,12655,19763,11789
21840,2.828,17525,12657,19762,11790
21860,3.257,17529,12660,19762,11791
21880,3.702,17532,12662,19761,11791
21900,3.963,17536,12664,19760,11791
21920,3.953,17539,12667,19758,11792
21940,3.791,17543,12669,19756,11792
21960,3.518,17546,12670,19754,11793
21980,3.287,17549,12672,19751,11793
22000,3.035,17552,12674,19749,11794
22020,2.856,17555,12676,19746,11794
22040,2.782,17558,12677,19744,11795
22060,2.735,17562,12679,19741,11796
22080,2.635,17565,12680,19739,11797
22100,2.604,17568,12682,19737,11798
22120,2.639,17571,12684,19736,11799
22140,2.714,17574,12685,19734,11799
22160,2.801,17578,12687,19733,11800
22180,2.871,17581,12689,19732,11800
22200,2.863,17584,12690,19732,11800
22220,2.846,17587,12692,19731,11800
22240,2.829,17590,12693,19731,11800
22260,2.81,17593,12694,19731,11800
22280,2.762,17595,12696,19732,11800
22300,2.686,17598,12697,19732,11800
22320,2.666,17601,12698,19733,11799
22340,2.652,17603,12699,19733,11799
22360,2.632,17606,12700,19734,11800
22380,2.618,17608,12702,19735,11800
22400,2.6,17611,12703,19736,11800
22420,2.604,17613,12705,19737,11801
22440,2.615,17616,12706,19738,11801
22460,2.615,17618,12708,19739,11802
22480,2.649,17621,12710,19739,11802
22500,2.824,17623,12711,19739,11803
22520,3.218,17626,12713,19739,11803
22540,3.663,17628,12714,19739,11804
22560,3.943,17630,12715,19738,11804
22580,3.94,17632,12716,19736,11805
22600,3.77,17634,12717,19735,11805
22620,3.495,17636,12718,19733,11806
22640,3.243,17638,12719,19731,11807
22660,3.045,17640,12719,19729,11808
22680,2.842,17642,12720,19727,11809
22700,2.755,17644,12720,19725,11810
22720,2.661,17645,12721,19723,11811
22740,2.624,17647,12721,19721,11813
22760,2.583,17648,12721,19720,11814
22780,2.652,17650,12722,19719,11815
22800,2.727,17651,12722,19717,11816
22820,2.817,17651,12722,19716,11817
22840,2.861,17652,12722,19715,11817
22860,2.908,17652,12723,19715,11817
22880,2.885,17653,12723,19714,11817
22900,2.866,17653,12723,19714,11816
22920,2.815,17652,12723,19714,11816
22940,2.741,17652,12723,19714,11815
22960,2.72,17652,12724,19714,11815
22980,2.686,17651,12724,19714,11814
23000,2.678,17651,12724,19714,11814
23020,2.638,17650,12724,19715,11814
23040,2.642,17650,12724,19716,11814
23060,2.621,17650,12724,19716,11813
23080,2.633,17650,12724,19717,11813
23100,2.647,17650,12724,19717,11813
23120,2.707,17650,12723,19717,11813
23140,3.024,17650,12723,19717,11813
23160,3.485,17650,12722,19717,11812
23180,3.922,17649,12721,19717,11812
23200,3.992,17649,12720,19716,11812
23220,3.995,17649,12719,19714,11811
23240,3.908,17649,12717,19713,11811
23260,3.63,17648,12716,19711,11811
23280,3.357,17648,12715,19709,11811
23300,3.131,17647,12713,19708,11811
23320,2.966,17646,12712,19706,11811
23340,2.903,17645,12710,19704,11812
23360,2.832,17644,12709,19703,11812
23380,2.749,17643,12708,19701,11813
23400,2.719,17641,12707,19700,11813
23420,2.733,17639,12706,19699,11814
23440,2.78,17638,12705,19698,11814
23460,2.906,17635,12704,19697,11814
23480,2.972,17633,12702,19697,11813
23500,2.959,17631,12701,19696,11813
23520,2.937,17628,12699,19696,11812
23540,2.913,17625,12698,19696,11811
23560,2.838,17622,12696,19697,11810
23580,2.763,17619,12694,19697,11809
23600,2.73,17616,12693,19698,11808
23620,2.705,17612,12691,19699,11806
23640,2.663,17609,12689,19701,11805
23660,2.643,17606,12687,19702,11804
23680,2.659,17603,12685,19704,11803
23700,2.643,17600,12683,19705,11803
23720,2.594,17597,12681,19707,11802
23740,2.639,17594,12679,19708,11801
23760,2.895,17591,12677,19709,11800
23780,3.395,17588,12675,19710,11800
23800,3.909,17585,12673,19711,11799
23820,4,17582,12670,19711,11799
23840,3.993,17579,12668,19711,11798
23860,3.989,17576,12666,19711,11797
23880,3.817,17572,12663,19710,11797
23900,3.49,17569,12661,19709,11796
23920,3.273,17566,12658,19708,11795
23940,3.145,17563,12656,19707,11795
23960,3.045,17559,12654,19706,11794
23980,2.912,17556,12652,19705,11793
24000,2.798,17552,12650,19704,11793
24020,2.728,17549,12648,19703,11792
24040,2.692,17545,12646,19702,11791
24060,2.751,17542,12645,19702,11790
24080,2.796,17539,12643,19702,11789
24100,2.896,17536,12641,19702,11788
24120,2.93,17532,12640,19703,11787
24140,2.919,17529,12638,19704,11786
24160,2.874,17526,12636,19705,11784
24180,2.801,17523,12634,19706,11783
24200,2.773,17521,12632,19707,11782
24220,2.677,17518,12631,19709,11781
24240,2.646,17516,12629,19711,11780
24260,2.621,17514,12627,19713,11779
24280,2.622,17512,12626,19715,11778
24300,2.611,17510,12624,19717,11778
24320,2.619,17508,12623,19719,11777
24340,2.608,17507,12622,19721,11777
24360,2.605,17506,12622,19723,11776
24380,2.604,17504,12621,19724,11776
24400,2.726,17503,12621,19726,11776
24420,3.192,17502,12620,19727,11776
24440,3.719,17500,12620,19727,11776
24460,3.998,17499,12619,19728,11776
24480,3.993,17497,12618,19728,11776
24500,4,17496,12618,19727,11776
24520,3.949,17494,12617,19727,11776
24540,3.694,17492,12616,19726,11776
24560,3.395,17490,12615,19725,11776
24580,3.182,17488,12614,19724,11776
24600,3.071,17487,12613,19723,11776
24620,3.014,17485,12612,19722,11776
24640,2.91,17483,12611,19721,11775
24660,2.779,17481,12610,19721,11775
24680,2.716,17479,12609,19720,11774
24700,2.705,17477,12609,19720,11773
24720,2.698,17476,12608,19720,11772
24740,2.742,17474,12607,19720,11771
24760,2.85,17472,12607,19720,11770
24780,2.84,17471,12606,19721,11769
24800,2.84,17469,12605,19722,11769
24820,2.793,17468,12605,19723,11768
24840,2.735,17466,12604,19724,11767
24860,2.702,17465,12604,19725,11767
24880,2.632,17463,12603,19727,11767
24900,2.603,17462,12603,19729,11767
24920,2.552,17461,12602,19731,11767
24940,2.524,17460,12602,19733,11767
24960,2.505,17458,12601,19735,11767
24980,2.513,17457,12601,19737,11768
25000,2.495,17456,12601,19739,11768
25020,2.519,17455,12600,19741,11768
25040,2.53,17454,12600,19743,11768
25060,2.569,17453,12600,19744,11768
25080,2.864,17452,12599,19745,11767
25100,3.281,17451,12599,19746,11767
25120,3.768,17451,12599,19746,11767
25140,3.967,17450,12599,19746,11766
25160,3.94,17449,12598,19746,11766
25180,3.715,17448,12598,19745,11766
25200,3.491,17448,12598,19744,11766
25220,3.305,17447,12597,19743,11766
25240,3.147,17446,12597,19742,11766
25260,3.043,17445,12597,19741,11766
25280,2.945,17444,12596,19740,11766
25300,2.905,17443,12596,19739,11767
25320,2.836,17441,12596,19738,11767
25340,2.699,17440,12596,19738,11768
25360,2.617,17439,12596,19738,11768
25380,2.632,17438,12596,19739,11768
25400,2.661,17437,12596,19739,11769
25420,2.721,17436,12596,19740,11769
25440,2.752,17434,12596,19742,11769
25460,2.741,17433,12596,19744,11770
25480,2.71,17432,12597,19745,11770
25500,2.663,17431,12597,19747,11770
25520,2.617,17430,12598,19749,11770
25540,2.608,17429,12598,19751,11770
25560,2.566,17428,12598,19753,11770
25580,2.547,17427,12598,19755,11770
25600,2.505,17426,12599,19756,11770
25620,2.503,17425,12599,19758,11770
25640,2.506,17424,12599,19759,11769
25660,2.488,17423,12598,19760,11769
25680,2.51,17422,12598,19761,11769
25700,2.549,17421,12598,19762,11769
25720,2.521,17421,12598,19763,11768
25740,2.538,17420,12598,19763,11768
25760,2.527,17419,12597,19763,11768
25780,2.668,17419,12597,19763,11768
25800,3.046,17418,12596,19763,11767
25820,3.506,17418,12596,19763,11767
25840,3.819,17418,12595,19762,11767
25860,3.929,17417,12595,19762,11767
25880,3.849,17417,12594,19761,11767
25900,3.634,17417,12593,19760,11767
25920,3.374,17417,12593,19759,11768
25940,3.193,17416,12592,19758,11769
25960,3.075,17416,12592,19757,11769
25980,2.964,17416,12591,19756,11770
26000,2.917,17416,12591,19756,11771
26020,2.835,17416,12592,19755,11773
26040,2.758,17416,12592,19755,11774
26060,2.682,17416,12593,19756,11775
26080,2.652,17416,12594,19756,11776
26100,2.654,17416,12595,19757,11777
26120,2.709,17416,12596,19758,11778
26140,2.744,17417,12597,19760,11778
26160,2.777,17417,12598,19761,11779
26180,2.751,17417,12599,19763,11779
26200,2.724,17417,12600,19764,11779
26220,2.671,17417,12601,19765,11779
26240,2.6,17417,12602,19766,11779
26260,2.563,17417,12603,19768,11779
26280,2.523,17418,12604,19768,11779
26300,2.503,17418,12605,19769,11779
26320,2.514,17418,12605,19770,11779
26340,2.533,17418,12605,19771,11779
26360,2.505,17417,12606,19771,11779
26380,2.492,17417,12606,19772,11779
26400,2.488,17417,12606,19772,11779
26420,2.558,17417,12606,19773,11779
26440,2.576,17417,12606,19774,11779
26460,2.568,17417,12606,19774,11778
26480,2.53,17417,12606,19775,11778
26500,2.52,17417,12606,19775,11777
26520,2.769,17417,12606,19776,11777
26540,3.21,17417,12605,19776,11776
26560,3.648,17417,12605,19776,11775
26580,3.865,17417,12605,19776,11775
26600,3.841,17417,12604,19775,11775
26620,3.69,17417,12604,19774,11775
26640,3.434,17417,12604,19773,11775
26660,3.208,17417,12604,19772,11775
26680,3.063,17418,12604,19770,11776
26700,2.972,17418,12604,19768,11776
26720,2.92,17419,12604,19767,11777
26740,2.842,17419,12604,19766,11778
26760,2.776,17420,12605,19764,11779
26780,2.692,17421,12605,19763,11780
26800,2.652,17423,12606,19762,11781
26820,2.649,17424,12607,19762,11782
26840,2.706,17426,12608,19762,11783
26860,2.768,17428,12610,19762,11783
26880,2.824,17431,12611,19762,11783
26900,2.836,17433,12612,19762,11783
26920,2.821,17435,12614,19762,11783
26940,2.772,17438,12615,19762,11783
26960,2.664,17441,12616,19762,11783
26980,2.631,17443,12618,19762,11783
27000,2.601,17446,12619,19762,11783
27020,2.629,17449,12621,19762,11783
27040,2.596,17452,12622,19761,11783
27060,2.57,17455,12623,19761,11784
27080,2.565,17458,12625,19760,11784
27100,2.548,17461,12626,19760,11784
27120,2.554,17464,12628,19760,11785
27140,2.591,17467,12629,19759,11785
27160,2.605,17470,12631,19759,11786
27180,2.612,17474,12633,19758,11786
27200,2.643,17477,12634,19758,11786
27220,2.576,17481,12636,19758,11787
27240,2.554,17485,12638,19757,11787
27260,2.679,17488,12640,19757,11787
27280,3.074,17492,12641,19756,11788
27300,3.555,17496,12643,19755,11788
27320,3.867,17500,12645,19754,11788
27340,3.949,17504,12647,19753,11789
27360,3.847,17507,12649,19751,11790
27380,3.603,17511,12651,19749,11790
27400,3.374,17515,12653,19747,11791
27420,3.186,17518,12655,19745,11792
27440,3.068,17522,12657,19743,11793
27460,2.968,17525,12659,19740,11794
27480,2.923,17528,12662,19738,11795
27500,2.815,17532,12664,19736,11796
27520,2.742,17535,12667,19734,11797
27540,2.664,17538,12669,19732,11798
27560,2.698,17542,12672,19730,11798
27580,2.755,17545,12674,19729,11799
27600,2.808,17548,12677,19728,11798
27620,2.857,17552,12679,19727,11798
27640,2.86,17555,12681,19726,11798
27660,2.825,17558,12682,19725,11797
27680,2.804,17561,12684,19724,11797
27700,2.752,17564,12685,19724,11796
27720,2.72,17567,12687,19723,11796
27740,2.706,17570,12688,19723,11796
27760,2.672,17573,12689,19723,11796
27780,2.619,17576,12691,19723,11797
27800,2.597,17578,12692,19723,11798
27820,2.544,17581,12693,19723,11798
27840,2.575,17584,12694,19723,11799
27860,2.594,17586,12696,19723,11801
27880,2.639,17589,12697,19723,11802
27900,2.652,17591,12698,19724,11802
27920,2.656,17593,12699,19724,11803
27940,2.685,17595,12700,19724,11804
27960,2.638,17597,12701,19724,11804
27980,2.631,17598,12702,19723,11804
28000,2.782,17599,12702,19723,11804
28020,3.165,17600,12702,19722,11803
28040,3.574,17600,12702,19721,11803
28060,3.874,17600,12702,19720,11802
28080,3.93,17600,12701,19718,11801
28100,3.775,17599,12700,19717,11800
28120,3.54,17598,12699,19715,11800
28140,3.315,17597,12697,19713,11799
28160,3.106,17595,12696,19712,11799
28180,2.976,17593,12694,19710,11799
28200,2.881,17591,12692,19708,11799
28220,2.793,17589,12690,19707,11799
28240,2.726,17587,12688,19705,11798
28260,2.617,17584,12686,19704,11798
28280,2.636,17582,12684,19703,11798
28300,2.689,17579,12682,19702,11798
28320,2.766,17577,12680,19702,11797
28340,2.85,17574,12678,19701,11796
28360,2.898,17571,12676,19701,11795
28380,2.863,17568,12674,19700,11794
28400,2.829,17565,12672,19700,11792
28420,2.773,17562,12670,19701,11790
28440,2.719,17559,12668,19701,11788
28460,2.688,17555,12666,19701,11787
28480,2.67,17552,12664,19702,11785
28500,2.597,17548,12662,19703,11783
28520,2.551,17544,12660,19704,11781
28540,2.594,17539,12658,19705,11779
28560,2.598,17535,12656,19706,11778
28580,2.619,17531,12654,19707,11776
28600,2.628,17527,12652,19708,11775
28620,2.615,17523,12650,19709,11774
28640,2.625,17519,12648,19710,11773
28660,2.653,17515,12646,19711,11772
28680,2.674,17511,12643,19711,11771
28700,2.693,17507,12641,19712,11769
28720,2.723,17504,12638,19712,11768
28740,2.969,17500,12635,19712,11767
28760,3.403,17497,12633,19712,11766
28780,3.904,17494,12630,19711,11765
28800,3.996,17491,12627,19710,11763
28820,3.995,17488,12624,19708,11762
28840,3.975,17484,12621,19707,11760
28860,3.764,17481,12618,19705,11759
28880,3.446,17477,12614,19702,11757
28900,3.235,17474,12611,19700,11756
28920,3.067,17470,12608,19697,11754
28940,2.971,17467,12604,19695,11752
28960,2.905,17463,12600,19693,11751
28980,2.84,17460,12597,19691,11750
29000,2.769,17457,12593,19689,11748
29020,2.765,17454,12590,19688,11747
29040,2.79,17451,12586,19688,11746
29060,2.826,17448,12583,19687,11745
29080,2.917,17446,12580,19688,11745
29100,2.952,17444,12577,19688,11744
29120,2.952,17442,12575,19690,11743
29140,2.934,17440,12573,19691,11742
29160,2.88,17439,12571,19692,11742
29180,2.793,17437,12569,19694,11741
29200,2.763,17436,12567,19696,11741
29220,2.699,17434,12566,19698,11740
29240,2.661,17433,12565,19700,11740
29260,2.635,17431,12563,19701,11740
29280,2.582,17429,12562,19703,11740
29300,2.617,17427,12561,19705,11740
29320,2.57,17425,12560,19707,11740
29340,2.636,17424,12559,19708,11741
